Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA
SP1,30/08/2003,Albacete,Osasuna,0,2,A,0,1,A,2.3,3,3,2.35,3.1,2.9,2,3.1,3.2,2.2,3,3,2.3,3,2.88,2.3,3,2.87,2.2,3.1,2.87
SP1,30/08/2003,Ath Bilbao,Barcelona,0,1,A,0,1,A,2.6,3.2,2.5,2.75,3.15,2.4,2.9,3,2.2,2.375,3.2,2.6,2.6,3.2,2.4,2.6,3.2,2.4,2.6,3.1,2.4
SP1,30/08/2003,Espanol,Sociedad,1,1,D,1,0,H,2.6,3.2,2.5,2.55,3.1,2.6,2.8,2.9,2.3,2.6,3.2,2.375,2.6,3,2.5,2.6,3,2.5,2.37,3.1,2.62
SP1,30/08/2003,Malaga,Villarreal,0,0,D,0,0,D,2.3,3.2,2.875,2.3,3.1,3,2.3,2.9,2.8,2.25,3.2,2.75,2.38,3.1,2.7,2.37,3.1,2.7,2.2,3,3
SP1,30/08/2003,Real Madrid,Betis,2,1,H,1,1,D,1.364,4.333,7.5,1.35,4.35,8,1.45,3.8,5.4,1.4,3.75,7,1.3,4.5,8,1.3,4.5,8,1.36,3.75,8
SP1,30/08/2003,Valencia,Valladolid,1,1,D,0,1,A,1.4,3.75,8.5,1.45,3.8,7,1.5,3.7,5,1.444,3.6,6.5,1.4,3.75,7.5,1.4,3.75,7.5,1.4,3.75,7
SP1,31/08/2003,Celta,Murcia,1,1,D,1,0,H,1.444,3.6,8,1.45,3.8,7,1.45,3.8,5.4,1.444,3.6,6.5,1.44,3.6,7,1.44,3.6,7,1.44,3.3,7.5
SP1,31/08/2003,Santander,Mallorca,2,1,H,1,0,H,2.375,3.2,2.75,2.38,3.15,2.75,2.3,2.9,2.8,2.375,3.2,2.6,2.4,3.2,2.6,2.4,3.2,2.6,2.3,3.2,2.62
SP1,31/08/2003,Sevilla,Ath Madrid,1,0,H,1,0,H,2.2,3.2,3,2.25,3.1,3.05,2.1,2.9,3.2,2.25,3.2,2.75,2.25,3.1,2.88,2.25,3.1,2.87,2.25,3.1,2.8
SP1,31/08/2003,Zaragoza,La Coruna,0,1,A,0,0,D,3,3.2,2.2,2.9,3.25,2.25,2.8,2.9,2.3,2.8,3.2,2.2,2.88,3.2,2.2,2.87,3.2,2.2,2.62,3.1,2.37
