Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SP1,21/08/1999,Ath Bilbao,Betis,1,0,H,0,0,D
SP1,21/08/1999,Mallorca,Real Madrid,1,2,A,0,0,D
SP1,21/08/1999,Valencia,Santander,1,2,A,0,1,A
SP1,22/08/1999,Ath Madrid,Vallecano,0,2,A,0,1,A
SP1,22/08/1999,Barcelona,Zaragoza,2,0,H,0,0,D
SP1,22/08/1999,La Coruna,Alaves,4,1,H,3,1,H
SP1,22/08/1999,Malaga,Espanol,1,0,H,0,0,D
SP1,22/08/1999,Numancia,Valladolid,1,0,H,1,0,H
SP1,22/08/1999,Oviedo,Celta,1,0,H,0,0,D
SP1,22/08/1999,Sevilla,Sociedad,2,2,D,2,1,H
SP1,28/08/1999,Sociedad,Ath Madrid,4,1,H,0,1,A
SP1,29/08/1999,Alaves,Malaga,2,1,H,0,1,A
SP1,29/08/1999,Betis,La Coruna,0,0,D,0,0,D
SP1,29/08/1999,Celta,Sevilla,2,1,H,1,0,H
SP1,29/08/1999,Espanol,Valencia,3,2,H,2,0,H
SP1,29/08/1999,Real Madrid,Numancia,4,1,H,0,0,D
SP1,29/08/1999,Santander,Barcelona,1,2,A,0,2,A
SP1,29/08/1999,Valladolid,Ath Bilbao,1,0,H,1,0,H
SP1,29/08/1999,Vallecano,Mallorca,2,1,H,0,1,A
SP1,29/08/1999,Zaragoza,Oviedo,4,0,H,2,0,H
SP1,11/09/1999,Barcelona,Espanol,3,0,H,0,0,D
SP1,11/09/1999,La Coruna,Valladolid,2,0,H,2,0,H
SP1,11/09/1999,Valencia,Alaves,0,2,A,0,0,D
SP1,12/09/1999,Ath Bilbao,Real Madrid,2,2,D,2,1,H
SP1,12/09/1999,Ath Madrid,Celta,1,2,A,1,1,D
SP1,12/09/1999,Malaga,Betis,3,0,H,1,0,H
SP1,12/09/1999,Mallorca,Numancia,3,0,H,3,0,H
SP1,12/09/1999,Oviedo,Santander,1,2,A,0,2,A
SP1,12/09/1999,Sevilla,Zaragoza,0,0,D,0,0,D
SP1,12/09/1999,Vallecano,Sociedad,2,1,H,1,0,H
SP1,18/09/1999,Alaves,Barcelona,2,1,H,1,1,D
SP1,18/09/1999,Betis,Valencia,1,0,H,1,0,H
SP1,18/09/1999,Espanol,Oviedo,2,1,H,0,1,A
SP1,18/09/1999,Real Madrid,La Coruna,1,1,D,0,0,D
SP1,18/09/1999,Valladolid,Malaga,4,2,H,1,1,D
SP1,19/09/1999,Celta,Vallecano,0,1,A,0,0,D
SP1,19/09/1999,Numancia,Ath Bilbao,1,1,D,1,1,D
SP1,19/09/1999,Santander,Sevilla,2,2,D,1,2,A
SP1,19/09/1999,Sociedad,Mallorca,2,1,H,1,0,H
SP1,19/09/1999,Zaragoza,Ath Madrid,1,1,D,1,1,D
SP1,25/09/1999,Barcelona,Betis,4,1,H,2,1,H
SP1,25/09/1999,Malaga,Real Madrid,1,1,D,0,1,A
SP1,25/09/1999,Sociedad,Celta,0,2,A,0,0,D
SP1,25/09/1999,Valencia,Valladolid,0,0,D,0,0,D
SP1,26/09/1999,Ath Madrid,Santander,2,0,H,0,0,D
SP1,26/09/1999,La Coruna,Numancia,0,2,A,0,1,A
SP1,26/09/1999,Mallorca,Ath Bilbao,2,1,H,1,0,H
