	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	YellowContra	YellowContra	YellowContra	YellowFavor	YellowFavor	YellowFavor	RedContra	RedContra	RedContra	RedFavor	RedFavor	RedFavor	Fouls	Fouls	Fouls	Fld	Fld	Fld	PenConc	PenConc	PenConc	PenAtt	PenAtt	PenAtt
																								
1.Bribe	-0.0682	-0.247	-0.271	0.762***	0.341	0.419	0.0126	-0.0265	-0.0428	0.0642*	-0.0301	-0.0108	1.653***	-0.508	-0.770	2.420***	0.292	0.677	-0.0907**	-0.139*	-0.135*	0.0881**	-0.0561	-0.0587
	(0.144)	(0.271)	(0.271)	(0.144)	(0.271)	(0.270)	(0.0363)	(0.0586)	(0.0584)	(0.0363)	(0.0581)	(0.0578)	(0.422)	(0.713)	(0.708)	(0.424)	(0.710)	(0.698)	(0.0360)	(0.0745)	(0.0746)	(0.0360)	(0.0744)	(0.0745)
Local	-0.0859**	-0.0481	-0.0650	0.190***	0.0143	0.0695	-0.0237***	0.00597	-0.00555	0.0294***	-0.0165	-0.00282	0.773***	0.485***	0.300**	-0.661***	-0.877***	-0.604***	-0.0209**	-0.0266*	-0.0239	0.0223***	-0.0268*	-0.0286*
	(0.0337)	(0.0574)	(0.0581)	(0.0338)	(0.0573)	(0.0577)	(0.00850)	(0.0124)	(0.0125)	(0.00851)	(0.0123)	(0.0124)	(0.0989)	(0.151)	(0.152)	(0.0994)	(0.150)	(0.149)	(0.00843)	(0.0158)	(0.0160)	(0.00843)	(0.0158)	(0.0160)
DifBookAdjust	0.674***	0.330***	0.218	-0.312***	-0.449***	-0.0798	-0.0324*	-0.00484	-0.0818***	0.0508***	0.0181	0.109***	1.359***	1.175***	-0.0622	-0.830***	-3.495***	-1.672***	0.101***	0.108***	0.126***	-0.0968***	0.0455	0.0335
	(0.0733)	(0.120)	(0.134)	(0.0735)	(0.120)	(0.133)	(0.0185)	(0.0260)	(0.0289)	(0.0185)	(0.0258)	(0.0286)	(0.215)	(0.316)	(0.350)	(0.216)	(0.315)	(0.345)	(0.0183)	(0.0331)	(0.0369)	(0.0183)	(0.0330)	(0.0369)
SqDifAdjust	-1.803***	-1.724***	-1.731***	-1.711***	-1.636***	-1.613***	-0.205***	-0.142***	-0.146***	-0.136***	-0.178***	-0.172***	-5.806***	-3.349***	-3.426***	-5.948***	-4.201***	-4.088***	0.106***	-0.115*	-0.113*	0.0994***	-0.0292	-0.0299
	(0.134)	(0.250)	(0.250)	(0.134)	(0.249)	(0.248)	(0.0338)	(0.0540)	(0.0537)	(0.0339)	(0.0535)	(0.0532)	(0.394)	(0.657)	(0.652)	(0.396)	(0.654)	(0.642)	(0.0336)	(0.0687)	(0.0687)	(0.0336)	(0.0686)	(0.0686)
Poss	-0.0117***		-0.00536*	0.0128***		0.0176***	-0.00561***		-0.00366***	0.00554***		0.00433***	-0.0686***		-0.0588***	0.0828***		0.0867***	0.000396		0.000861	-0.000416		-0.000573
	(0.00169)		(0.00284)	(0.00170)		(0.00282)	(0.000427)		(0.000611)	(0.000428)		(0.000604)	(0.00497)		(0.00740)	(0.00500)		(0.00730)	(0.000424)		(0.000780)	(0.000424)		(0.000780)
xG		-0.0584*	-0.0587*		0.0662*	0.0672*		-0.0199***	-0.0200***		0.0612***	0.0614***		-0.0952	-0.0984		-0.549***	-0.544***		0.136***	0.136***		0.141***	0.141***
		(0.0349)	(0.0349)		(0.0349)	(0.0347)		(0.00755)	(0.00751)		(0.00749)	(0.00744)		(0.0918)	(0.0911)		(0.0914)	(0.0898)		(0.00960)	(0.00960)		(0.00959)	(0.00959)
Constant	3.531***	2.773***	3.051***	2.127***	2.568***	1.659***	0.464***	0.143***	0.333***	-0.129***	0.0543***	-0.170***	18.56***	13.74***	16.78***	11.69***	15.07***	10.58***	0.134***	0.0276*	-0.0171	0.147***	0.0119	0.0416
	(0.0909)	(0.0586)	(0.158)	(0.0911)	(0.0585)	(0.157)	(0.0229)	(0.0127)	(0.0341)	(0.0230)	(0.0125)	(0.0337)	(0.267)	(0.154)	(0.413)	(0.268)	(0.153)	(0.407)	(0.0227)	(0.0161)	(0.0435)	(0.0227)	(0.0161)	(0.0435)
																								
Observations	12,906	3,800	3,800	12,906	3,800	3,800	12,906	3,800	3,800	12,906	3,800	3,800	12,906	3,800	3,800	12,906	3,800	3,800	12,906	3,800	3,800	12,906	3,800	3,800
R-squared	0.035	0.018	0.019	0.042	0.024	0.034	0.018	0.004	0.014	0.018	0.020	0.033	0.037	0.010	0.027	0.065	0.058	0.092	0.009	0.051	0.052	0.007	0.055	0.055
Number of Equipo	40	28	28	40	28	28	40	28	28	40	28	28	40	28	28	40	28	28	40	28	28	40	28	28
Standard errors in parentheses																								
*** p<0.01, ** p<0.05, * p<0.1																								
