	(1)	(2)	(3)
VARIABLES	GoalDiff	GoalDiff	GoalDiff
			
Local	-0.0705**	-0.0317	-0.157***
	(0.0337)	(0.0547)	(0.0538)
DifBookAdjust	-3.411***	-1.779***	-2.617***
	(0.0734)	(0.115)	(0.124)
SqDifAdjust	-0.645***	-0.744***	-0.791***
	(0.136)	(0.239)	(0.232)
Poss	-3.813***		-3.990***
	(0.169)		(0.263)
xG		0.700***	0.699***
		(0.0334)	(0.0324)
1.Bribe	0.362**	0.237	0.0811
	(0.148)	(0.266)	(0.259)
2006.Year	0.00492		
	(0.0813)		
2007.Year	0.0286		
	(0.0818)		
2008.Year	0.0407		
	(0.0820)		
2009.Year	0.0592		
	(0.0829)		
2010.Year	0.0453		
	(0.0815)		
2011.Year	0.0269		
	(0.0806)		
2012.Year	0.0119		
	(0.0805)		
2013.Year	-0.00627		
	(0.0816)		
2014.Year	0.0200		
	(0.0828)		
2015.Year	0.00644		
	(0.0815)		
2016.Year	0.0331		
	(0.0817)		
2017.Year	0.00374		
	(0.0818)		
2018.Year	-0.00160	-0.0895	-0.0819
	(0.0828)	(0.0788)	(0.0765)
2019.Year	0.0184	-0.0349	-0.00538
	(0.0813)	(0.0797)	(0.0774)
2020.Year	-0.00851	-0.0529	-0.0279
	(0.0818)	(0.0816)	(0.0793)
2021.Year	-0.00690	-0.0403	-0.0135
	(0.0808)	(0.0820)	(0.0796)
Constant	1.979***	-0.762***	1.286***
	(0.107)	(0.0793)	(0.155)
			
Observations	12,906	3,800	3,800
R-squared	0.209	0.232	0.277
Number of Equipo	40	28	28
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
